Year,ARG,AUS,AUT,BRA,GBR
1875,2606,6596,3145,1122,5950
1876,2611,6387,3188,1081,5938
1877,2820,6433,3268,1050,5923
1878,2619,6817,3347,1101,5879
1879,2664,6703,3296,1109,5786
1880,2557,6830,3314,1058,5997
1881,2541,7101,3419,1068,6146
1882,3108,6476,3411,1093,6269
1883,3373,7133,3521,1063,6264
1884,3486,6861,3583,1135,6220
1885,3904,7049,3531,1055,6132
1886,3771,6900,3615,1089,6170
1887,3841,7383,3832,1017,6358
1888,4219,7179,3792,977,6585
1889,4288,7567,3725,991,6876
1890,3851,7106,3894,1084,6845
1891,3631,7438,3995,1152,6781
1892,4251,6368,4041,999,6553
1893,4409,5910,4025,850,6486
1894,4968,6003,4216,850,6851
1895,5384,5558,4285,1007,6996
1896,5716,5874,4305,915,7211
1897,4500,5451,4352,901,7229
1898,4741,6202,4551,923,7500
1899,5412,6121,4600,905,7729
1900,4583,6397,4594,874,7594
1901,4591,6119,4565,940,7516
1902,4331,6094,4694,921,7635
1903,4769,6497,4688,920,7482
1904,5086,6846,4712,918,7455
1905,5545,6825,4925,925,7603
1906,5608,7184,5062,993,7782
1907,5514,7358,5321,972,7855
1908,5829,7481,5292,945,7461
1909,5896,7940,5222,999,7557
1910,6092,8305,5244,990,7718
1911,5971,8136,5364,1076,7874
1912,6223,8126,5587,1042,7954
1913,6052,8220,5523,1046,8212
1914,5263,8013,4584,1004,8131
1915,5171,7806,4229,1028,8639
1916,4927,7775,4189,1036,8702
1917,4447,7637,4122,1086,8665
1918,5177,7336,4073,1041,8630
1919,5271,7517,3601,1154,7605
1920,5536,7597,3845,1242,7017
1921,5533,7828,4224,1242,6792
1922,5796,8072,4586,1301,7391
1923,6213,8276,4530,1347,7587
1924,6464,8635,5042,1320,7844
1925,6247,8851,5367,1298,8199
1926,6366,8883,5440,1299,7868
1927,6625,8837,5587,1366,8472
1928,6840,8690,5829,1492,8539
1929,6961,8389,5896,1465,8772
1930,6503,7504,5716,1350,8673
1931,5917,6940,5241,1294,8190
1932,5614,7275,4686,1312,8206
1933,5772,7718,4516,1387,8411
1934,6129,8066,4546,1471,8939
1935,6296,8477,4634,1482,9244
1936,6236,8792,4774,1591,9620
1937,6575,9159,5031,1610,9911
1938,6491,9382,5673,1643,9988
1939,6612,9318,6529,1627,9982
1940,6633,9828,6311,1610,10928
1941,6861,10820,6722,1683,11926
1942,6829,11963,6349,1584,12176
1943,6666,12278,6480,1763,12344
1944,7299,11735,6618,1785,11803
1945,6943,11026,2750,1792,11247
1946,7436,10512,3118,1934,10751
1947,8112,10622,3453,1956,10527
1948,8372,11105,4406,2096,10753
1949,8045,11536,5249,2204,11088
1950,7949,11815,5907,2236,11061
1951,8086,11966,6311,2279,11354
1952,7519,11824,6323,2377,11303
1953,7769,11963,6594,2418,11709
1954,7938,12419,7261,2531,12145
1955,8348,12795,8054,2675,12541
1956,8424,12924,8603,2672,12639
1957,8705,12895,9111,2793,12779
1958,9083,13238,9416,3005,12698
1959,8354,13753,9645,3201,13134
1960,8861,14013,10391,3398,13780
1961,9344,13793,10882,3585,14118
1962,9049,14389,11078,3711,14131
1963,8695,14983,11454,3623,14583
1964,9446,15699,12062,3637,15251
1965,10155,16182,12328,3617,15545
1966,10076,16324,12930,3747,15757
1967,10200,17108,13225,3795,16018
1968,10485,17770,13742,4050,16593
1969,11217,18428,14555,4313,16820
1970,11639,19166,15537,4635,17162
1971,12003,19590,16259,5024,17440
1972,12170,19772,17169,5480,18002
1973,12691,20527,17908,6086,19168
1974,13284,20698,18583,6416,18903
1975,12946,20993,18564,6582,18884
1976,12696,21613,19448,7079,19311
1977,13236,21592,20350,7248,19740
1978,12444,21948,20293,7425,20448
1979,13114,22826,21436,7736,20988
1980,13080,22972,21932,8249,20612
1981,12125,23368,21866,7709,20319
1982,11550,22972,22254,7587,20650
1983,11775,22697,22944,7203,21366
1984,11837,24009,23016,7438,21869
1985,10895,24927,23514,7862,22579
1986,11515,25116,24039,8281,23498
1987,11633,25971,24409,8402,24536
1988,11244,26702,25112,8230,25679
1989,10393,27407,26078,8333,26164
1990,10254,27373,26930,7842,26189
1991,11223.98464,26861.27496,27689.77127,7888.048528,25792.01278
1992,12267.08359,27560.17828,28072.44035,7812.794255,25790.18469
1993,12926.79467,28622.47576,28101.22864,8166.235563,26349.34197
1994,13571.37943,29844.17132,28780.76039,8615.688661,27277.54276
1995,13086.03645,30690.06244,29621.68192,8951.694357,27861.21578
1996,13715.22682,31740.46975,30413.15669,9124.516069,28472.24824
1997,14722.64594,32857.99378,31173.04877,9409.946485,29259.76382
1998,15185.95869,34337.13943,32376.32951,9419.107907,30077.38452
1999,14577.83227,35551.01951,33608.29655,9441.758899,30932.53624
2000,14368.94274,36603.045,34796.25948,9834.424437,31946.03634
2001,13651.98099,37275.99125,35272.22395,9953.309484,32660.44137
2002,12094.77284,38567.06549,35823.58737,10245.06892,33271.30255
2003,13088.56501,39523.6552,36063.12049,10354.59536,34232.42666
2004,14183.22514,40887.72534,36957.11225,10949.66012,34865.78268
2005,15344.15713,41904.44587,37642.76215,11305.77172,35623.62559
2006,16490.47358,42650.98593,38866.84934,11766.60573,36214.06879
2007,17891.94341,44033.58376,40305.27431,12500.00637,36816.67708
2008,18520.30408,44421.64047,40964.79335,13164.01134,36264.79056
2009,17328.97575,44686.54138,39463.65696,13180.89093,34402.35798
2010,18979.9917,45400.2234,40288.34929,14215.61258,34754.47226
2011,20003,46132,41446,14831,34971
2012,19573.96319,47045.12947,41540.94194,14985.49834,35243.64214
2013,19821.64248,47260.95483,41301.94215,15305.41403,35660.55717
2014,19112.2329,47753.84578,41250.50597,15251.88961,36521.86116
2015,19423.66698,48145.531,41255.71666,14583.98197,37101.22494
2016,18819.64289,48675.13533,41545.4987,13990.64677,37593.90658
2017,19150.52048,49001.90044,42216.9197,14062.74964,38283.93672
2018,18460.86901,49614.38598,43032.2164,14197.54972,38704.60267
2019,17912.63577,49814.66996,43488.66812,14257.87131,39113.01173
2020,15975.83877,48268.94508,40503.04081,13685.92574,34651.18305
2021,17470.68242,50704.93485,42184.69612,14292.93506,37134.32838
2022,18292.31782,52049.42795,43792.8564,14640.07612,38406.53195
